Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C7, C9",0603,4,10uF,
"C10, C2, C3, C5",0603,4,1uF,
"C6, C8",0603,2,0.1uF,
D1,1206,1,LED,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
DEV_BOARD1,Electrosmith_Daisy_Seed,1,Black_pill_stm32f411,
"J1, J2",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,3.7v 2000mAh,
"J3, J4",PinHeader_1x08_P2.54mm_Horizontal,2,Conn_01x08_Pin,
J5,PinHeader_2x03_P2.54mm_Vertical,1,Serie-Paralelo,
"M1, M2",motor,2,GA12-N20,
MOD1,DRV8833_mod,1,DRV8825_breakout,
"PSB1, PSB2",SX1308_mod,2,SX1308_module,
Q1,SOT-23,1,MMBT5550L,
"R1, R10, R11, R12, R13, R4, R6, R7",0805,8,220,
"R14, R15, R16, R17, R2, R20, R21, R5, R8, R9",0805,10,10k,
R18,0805,1,150,
R19,0805,1,1k,
R24,0805,1,100,
R3,0805,1,330,
RV1,Potentiometer_Bourns_3296W_Vertical,1,500,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,ON-OFF,
TP1,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,TestPoint_voltaje_Motores,
TP2,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,TestPoint_5V,
TP3,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,TestPoint_IRleds,
"U1, U2, U3, U4, U5, U6, U7, U8",QRD1114,8,QRD1114,
U10,SOT-223-3_TabPin2,1,LM1117MP-ADJ,
U11,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,
"U12, U9",SOT-223-3_TabPin2,2,AMS1117-3.3,
U13,ESP-01,1,ESP-01S,
U14,SOT-223-3_TabPin2,1,AMS1117-5.0,
