Designator,Mid X,Mid Y,Rotation,Layer
C1,227.6875,-102.52625,270.0,top
C10,154.945,-51.03,0.0,bottom
C2,230.0125,-102.51375,270.0,top
C3,222.6875,-102.5075,270.0,top
C4,220.2375,-102.5825,270.0,top
C5,190.38,-65.92,0.0,top
C6,160.375,-99.8875,270.0,top
C7,189.43,-69.0825,270.0,top
C8,137.6,-72.14125,0.0,top
C9,159.0075,-46.33,180.0,bottom
D1,208.8125,-91.645,0.0,top
D2,140.975,-77.84625,90.0,top
DEV_BOARD1,147.32,-61.755,270.0,top
J1,193.57,-78.08,180.0,top
J2,200.95,-78.1,180.0,top
J3,166.015,-95.825,90.0,top
J4,165.985,-74.65,270.0,top
J5,198.01,-72.82,90.0,top
M1,215.6825,-47.5275,0.0,top
M2,114.2225,-47.1925,180.0,top
MOD1,165.015,-42.355,270.0,top
PSB1,188.425,-52.3,90.0,top
PSB2,196.875,-52.3,270.0,top
Q1,204.3625,-98.9325,90.0,top
R1,100.5,-113.275,270.0,bottom
R10,172.5,-112.45,270.0,bottom
R11,192.175,-112.45,270.0,bottom
R12,211.875,-112.45,270.0,bottom
R13,231.575,-112.45,270.0,bottom
R14,179.325,-109.925,90.0,bottom
R15,199.05,-109.9,90.0,bottom
R16,218.725,-109.9,90.0,bottom
R17,235.05,-107.9,0.0,bottom
R18,214.6125,-99.495,180.0,top
R19,204.3125,-93.895,0.0,top
R2,97.15,-107.95,0.0,bottom
R20,204.3125,-95.895,180.0,top
R21,171.3,-102.175,90.0,top
R24,138.3,-74.89125,90.0,top
R3,213.2625,-91.645,0.0,top
R4,113.325,-112.45,270.0,bottom
R5,120.25,-109.9,90.0,bottom
R6,133.1,-112.475,270.0,bottom
R7,152.775,-112.45,270.0,bottom
R8,139.9,-109.9,90.0,bottom
R9,159.65,-109.95,90.0,bottom
RV1,211.3975,-95.695,0.0,top
SW1,127.005,-44.1,0.0,top
SW2,127.005,-50.05,0.0,top
SW3,207.4,-71.51,90.0,top
TP1,195.825,-37.2,0.0,top
TP2,175.475,-68.175,0.0,top
TP3,211.475,-102.65,0.0,top
U1,97.095,-112.18,0.0,bottom
U10,220.2575,-96.35,270.0,top
U11,165.75,-102.55,0.0,top
U12,152.645,-46.33,180.0,bottom
U13,141.76,-48.525,0.0,top
U14,184.175,-68.2,0.0,top
U2,116.795,-112.18,0.0,bottom
U3,136.495,-112.18,0.0,bottom
U4,156.195,-112.18,0.0,bottom
U5,175.895,-112.18,0.0,bottom
U6,195.595,-112.18,0.0,bottom
U7,215.295,-112.18,0.0,bottom
U8,234.995,-112.18,0.0,bottom
U9,227.7125,-96.35125,270.0,top
